,name,rating,provider,lat,lon,city
0,"Közz Kokoreç, Keçiören (Adnan Menderes Mah.)",3.9,GETIR,39.9334,32.8597,ANKARA
1,Eyüp Sultan Sofrası,4.6,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
2,Kahve Dünyası Algötür (Hoca Paşa Mah.),2.8,GETIR,41.0082,28.9784,ISTANBUL
3,"Fm Pide, Fatih (Katip Kasım Mah.)",0.0,GETIR,41.0082,28.9784,ISTANBUL
4,Umut Pide & Kebap (Kavaklıdere Mah.),4.7,GETIR,39.9334,32.8597,ANKARA
5,Pizza Time (Abidinpaşa Mah.),4.4,GETIR,39.9334,32.8597,ANKARA
6,Kahve 6 Kahvaltı & Cafe (Kocamustafapaşa Mah.),4.6,GETIR,41.0082,28.9784,ISTANBUL
7,Waffle Works & Kumpir & Tatlı,3.3,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
8,"Başak Kır Pidesi, Çankaya (Bahçelievler Mah.)",4.6,GETIR,39.9334,32.8597,ANKARA
9,"Konak Döner & Lahmacun, Mamak (Abidinpaşa Mah.)",4.6,GETIR,39.9334,32.8597,ANKARA
10,"Hikmet Döner Salonu, Merkez (Mustafa Paşa Mah.)",0.0,GETIR,38.6748,39.2225,ELAZIĞ
11,"Akın Kebap, Altındağ (Hacettepe Mah.) ",3.4,GETIR,39.9334,32.8597,ANKARA
12,Balipaşa Pilavcısı (Mimar Hayrettin Mah.),0.0,GETIR,41.0082,28.9784,ISTANBUL
13,Lagetom Coffee (Bahçelievler Mah.),0.0,GETIR,39.9334,32.8597,ANKARA
14,Çırahan Kilo Mangal & Izgara Döner,4.0,YEMEK_SEPETI,38.6748,39.2225,ELAZIĞ
15,Il Pollo Del Capo (Bahçelievler Mah.)  ,4.5,GETIR,39.9334,32.8597,ANKARA
16,"Pizza City, Merkez (Çaydaçıra Mah.)",4.6,GETIR,38.6748,39.2225,ELAZIĞ
17,Maydonoz Döner,3.7,YEMEK_SEPETI,39.9334,32.8597,ANKARA
18,"SB Döner & Sos, Merkez (Yeni Mah.)",3.6,GETIR,38.6748,39.2225,ELAZIĞ
19,"Mersinli Ciğerci Aydın, Çankaya (Maltepe Mah.)",4.4,GETIR,39.9334,32.8597,ANKARA
20,"Tunus Islak Hamburger, Çankaya (Maltepe Mah.)",0.0,GETIR,39.9334,32.8597,ANKARA
